,Team 0,Team 1,Winner
0,FC_Schalke_04_Esports,Fnatic,1
1,FC_Schalke_04_Esports,Fnatic,1
2,FC_Schalke_04_Esports,G2_Esports,0
3,FC_Schalke_04_Esports,G2_Esports,1
4,FC_Schalke_04_Esports,Giants_Gaming,0
5,FC_Schalke_04_Esports,Giants_Gaming,0
6,FC_Schalke_04_Esports,H2k-Gaming,0
7,FC_Schalke_04_Esports,H2k-Gaming,1
8,FC_Schalke_04_Esports,Misfits_Gaming,0
9,FC_Schalke_04_Esports,Misfits_Gaming,1
10,FC_Schalke_04_Esports,Splyce,0
11,FC_Schalke_04_Esports,Splyce,0
12,FC_Schalke_04_Esports,Team_ROCCAT,0
13,FC_Schalke_04_Esports,Team_ROCCAT,0
14,FC_Schalke_04_Esports,Team_Vitality,0
15,FC_Schalke_04_Esports,Team_Vitality,1
16,FC_Schalke_04_Esports,Unicorns_Of_Love,0
17,FC_Schalke_04_Esports,Unicorns_Of_Love,0
18,Fnatic,G2_Esports,0
19,Fnatic,G2_Esports,1
20,Fnatic,Giants_Gaming,0
21,Fnatic,Giants_Gaming,0
22,Fnatic,H2k-Gaming,0
23,Fnatic,H2k-Gaming,0
24,Fnatic,Misfits_Gaming,0
25,Fnatic,Misfits_Gaming,1
26,Fnatic,Splyce,0
27,Fnatic,Splyce,1
28,Fnatic,Team_ROCCAT,0
29,Fnatic,Team_ROCCAT,0
30,Fnatic,Team_Vitality,0
31,Fnatic,Team_Vitality,1
32,Fnatic,Unicorns_Of_Love,0
33,Fnatic,Unicorns_Of_Love,1
34,G2_Esports,Giants_Gaming,0
35,G2_Esports,Giants_Gaming,1
36,G2_Esports,H2k-Gaming,0
37,G2_Esports,H2k-Gaming,0
38,G2_Esports,Misfits_Gaming,0
39,G2_Esports,Misfits_Gaming,1
40,G2_Esports,Splyce,0
41,G2_Esports,Splyce,0
42,G2_Esports,Team_ROCCAT,0
43,G2_Esports,Team_ROCCAT,1
44,G2_Esports,Team_Vitality,0
45,G2_Esports,Team_Vitality,1
46,G2_Esports,Unicorns_Of_Love,0
47,G2_Esports,Unicorns_Of_Love,0
48,Giants_Gaming,H2k-Gaming,0
49,Giants_Gaming,H2k-Gaming,0
50,Giants_Gaming,Misfits_Gaming,0
51,Giants_Gaming,Misfits_Gaming,1
52,Giants_Gaming,Splyce,1
53,Giants_Gaming,Splyce,1
54,Giants_Gaming,Team_ROCCAT,0
55,Giants_Gaming,Team_ROCCAT,1
56,Giants_Gaming,Team_Vitality,1
57,Giants_Gaming,Team_Vitality,1
58,Giants_Gaming,Unicorns_Of_Love,1
59,Giants_Gaming,Unicorns_Of_Love,1
60,H2k-Gaming,Misfits_Gaming,1
61,H2k-Gaming,Misfits_Gaming,1
62,H2k-Gaming,Splyce,0
63,H2k-Gaming,Splyce,1
64,H2k-Gaming,Team_ROCCAT,1
65,H2k-Gaming,Team_ROCCAT,1
66,H2k-Gaming,Team_Vitality,1
67,H2k-Gaming,Team_Vitality,1
68,H2k-Gaming,Unicorns_Of_Love,1
69,H2k-Gaming,Unicorns_Of_Love,1
70,Misfits_Gaming,Splyce,0
71,Misfits_Gaming,Splyce,1
72,Misfits_Gaming,Team_ROCCAT,0
73,Misfits_Gaming,Team_ROCCAT,1
74,Misfits_Gaming,Team_Vitality,0
75,Misfits_Gaming,Team_Vitality,1
76,Misfits_Gaming,Unicorns_Of_Love,0
77,Misfits_Gaming,Unicorns_Of_Love,0
78,Splyce,Team_ROCCAT,0
79,Splyce,Team_ROCCAT,0
80,Splyce,Team_Vitality,0
81,Splyce,Team_Vitality,1
82,Splyce,Unicorns_Of_Love,0
83,Splyce,Unicorns_Of_Love,1
84,Team_ROCCAT,Team_Vitality,0
85,Team_ROCCAT,Team_Vitality,1
86,Team_ROCCAT,Unicorns_Of_Love,0
87,Team_ROCCAT,Unicorns_Of_Love,1
88,Team_Vitality,Unicorns_Of_Love,0
89,Team_Vitality,Unicorns_Of_Love,0
